;Proband; densening_6; densening_9; densening_12; densening_15; densening_18; densening_21; direct_6; direct_9; direct_12; direct_15; direct_18; direct_21; widening_6; widening_9; widening_12; widening_15; widening_18; widening_21
0;1;5.503;5.681733333333333;6.774133333333333;7.501066666666666;7.8;7.823466666666667;5.474066666666667;7.9658;7.479266666666667;7.725066666666667;7.3134;11.810933333333333;4.898266666666667;7.5398;6.570333333333333;8.352466666666666;9.212;7.9284
1;2;6.116733333333333;8.707600000000001;8.068266666666666;11.448599999999999;12.199733333333334;12.649133333333333;5.806733333333333;8.4284;10.868266666666667;8.124466666666667;11.269933333333334;10.309666666666667;6.534933333333333;7.2707999999999995;10.945733333333333;9.365266666666667;12.161399999999999;11.318466666666666
2;3;5.2796;6.7582;6.441533333333334;10.562666666666667;13.937866666666668;12.973600000000001;6.1391333333333336;6.4038;7.8604666666666665;8.763133333333334;15.435599999999999;13.191533333333332;4.801466666666667;6.4836;8.078333333333333;10.419333333333332;9.423666666666666;11.3202
3;4;5.897533333333333;8.604733333333334;8.753866666666665;16.742733333333334;20.282733333333333;17.128533333333333;5.962933333333334;7.053666666666667;9.8294;12.189;20.187;18.6814;6.5048;10.509133333333333;11.448466666666667;15.3854;13.136533333333334;19.319533333333332
4;5;6.160466666666666;6.204933333333333;8.0624;8.702666666666666;8.9452;8.833933333333334;4.982200000000001;6.2207333333333334;7.130533333333333;7.838666666666667;8.723266666666666;8.825933333333333;5.401066666666667;5.791133333333334;7.229066666666666;7.9295333333333335;8.697133333333333;8.587466666666668
5;6;7.429466666666667;8.854133333333332;8.8192;11.0734;7.997333333333333;9.8634;6.024666666666667;6.693933333333333;8.068866666666667;8.593933333333332;9.074866666666667;12.111666666666668;6.336133333333334;27.160733333333333;8.9026;8.511000000000001;10.391266666666667;12.3852
6;7;14.160866666666665;6.806133333333333;7.375733333333333;9.106533333333335;8.8732;9.502266666666666;5.712933333333334;10.112066666666667;8.757266666666668;9.014533333333333;9.188799999999999;11.073266666666665;5.881666666666666;8.059733333333334;12.148533333333335;9.779066666666667;9.316666666666666;11.321200000000001
7;8;8.642133333333334;12.105799999999999;9.774466666666665;10.7554;11.471866666666667;12.702;6.031266666666666;7.8453333333333335;7.3344000000000005;14.230333333333334;11.677933333333334;32.997733333333336;12.297;8.879466666666668;10.989466666666667;11.4604;11.260733333333333;17.697066666666668
8;9;8.5036;10.6016;8.235066666666667;12.870666666666667;11.514466666666667;10.6072;6.4601999999999995;6.546;8.186533333333333;11.273666666666665;9.6286;8.9034;6.698733333333333;7.314133333333333;9.544599999999999;11.7074;13.5286;12.302999999999999
9;10;4.882533333333333;5.718333333333334;7.6036;9.013533333333333;8.8704;12.8604;4.656266666666666;22.784066666666664;5.647;6.113266666666666;11.147333333333334;11.073533333333334;6.282266666666667;5.4776;7.948266666666667;6.5451999999999995;9.7104;15.973066666666666
10;11;6.9552000000000005;5.378866666666666;6.920599999999999;8.314666666666666;24.681266666666666;9.716533333333333;5.0924;6.567466666666666;7.4887999999999995;9.362;9.259466666666667;9.253466666666666;5.437666666666667;5.585666666666667;7.768066666666667;7.549466666666666;9.150666666666666;10.154533333333331
11;12;5.940666666666667;6.553666666666667;7.6452;7.789666666666666;8.228466666666666;8.324;6.469133333333334;7.864933333333334;7.2474;9.3556;8.6758;9.831866666666667;5.372066666666667;6.805266666666666;7.405;7.5164;8.551733333333335;8.562333333333333
12;13;6.903066666666667;7.378066666666666;21.3766;9.143;11.681133333333333;12.177666666666665;26.255266666666667;7.463466666666666;8.870066666666666;12.963799999999999;10.0234;10.688933333333333;5.4306;8.719;9.122733333333334;11.059933333333333;19.919066666666666;15.821666666666665
13;14;6.493133333333334;6.6912666666666665;7.678933333333333;8.389933333333333;9.047066666666666;9.880466666666667;6.0183333333333335;7.323666666666667;7.487266666666667;9.807866666666666;9.996533333333334;11.079133333333333;5.0402000000000005;8.0344;7.2826;10.090399999999999;9.251;14.016
14;15;6.653266666666666;33.31986666666667;10.448133333333333;9.5956;10.167866666666667;11.681000000000001;5.698466666666667;8.642333333333333;8.426666666666666;10.3688;8.7036;16.422333333333334;6.778133333333333;8.841933333333333;7.967733333333333;11.649733333333334;10.6702;10.454133333333335
15;16;5.8724;7.848666666666666;7.684733333333333;9.683866666666667;10.7134;9.230933333333333;6.483066666666668;7.4887999999999995;10.563600000000001;25.6682;11.828399999999998;14.4914;6.053733333333333;7.029866666666666;10.544533333333334;13.541;12.094999999999999;18.815733333333334
16;17;6.1442;6.3504;6.837400000000001;7.5806000000000004;7.505733333333334;7.9884;5.481466666666667;6.060333333333333;6.8972;8.296733333333332;7.465866666666667;7.2922666666666665;8.4808;8.690533333333333;6.7748;8.3382;6.664733333333333;9.3572
17;18;25.6934;6.643;11.826533333333334;8.403933333333333;12.032333333333332;9.649466666666665;6.0398000000000005;6.292933333333334;8.3264;7.241733333333333;8.356733333333333;8.072333333333335;5.031000000000001;7.249733333333333;7.3906;8.013266666666667;32.05493333333333;8.8158
18;19;6.346733333333333;8.477133333333333;9.653466666666667;10.263933333333334;11.556466666666667;10.357133333333334;6.066866666666667;23.976333333333333;8.575199999999999;14.092733333333333;8.919666666666666;10.4458;7.336133333333334;6.7594;7.813466666666667;8.752666666666666;10.559066666666666;11.127933333333335
19;20;5.555533333333333;6.6655999999999995;6.804066666666667;8.049733333333332;9.807733333333335;8.256266666666667;5.835133333333333;6.931533333333333;7.5138;7.7304;8.742799999999999;9.034866666666666;5.895666666666667;6.8327333333333335;7.6104;8.031266666666667;11.766066666666665;11.315133333333334
20;22;6.614933333333334;6.722466666666667;8.436133333333334;7.8773333333333335;8.4806;8.967733333333333;5.843733333333334;6.9425333333333334;7.7232;8.708933333333333;8.366866666666667;8.506933333333333;5.200333333333333;6.107866666666666;8.617466666666667;7.427466666666667;8.361799999999999;9.636
21;23;5.811533333333333;7.168;7.5324;7.959333333333333;8.441933333333333;8.930800000000001;5.700666666666666;6.7703999999999995;7.065333333333333;8.842266666666665;7.859066666666666;8.492466666666667;5.5268;6.4417333333333335;8.025733333333333;8.2288;10.006400000000001;11.4254
22;24;6.062399999999999;7.891066666666666;8.627333333333333;7.879266666666666;8.914133333333332;11.098066666666666;5.3062000000000005;6.126666666666667;7.681;7.7702;7.763866666666667;8.811;5.397133333333333;5.7832;7.258666666666667;6.6328;7.237866666666666;8.721066666666667
